Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numenta,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.51259765625,-0.44,0,3426,2,0,4032
numenta,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.51259765625,1.87550622489,9,13573,4,1517,15853
numenta,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.51259765625,1.28048222172,3,13499,2,1579,15833
numenta,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.51259765625,0.512263690746,3,1231,1,162,1643
numenta,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.51259765625,0.861272490375,2,1784,0,237,2380
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.51259765625,0.337302738031,6,3021,2,399,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.51259765625,0.875727409493,3,3025,0,400,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.51259765625,-2.22,0,930,1,126,1243
numenta,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.51259765625,-2.11320103313,23,15787,14,1476,18050
numenta,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.51259765625,-1.66,0,1215,3,163,1624
numenta,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.51259765625,1.5160251845,4,1874,1,246,2500
numenta,reward_low_FP_rate,realTraffic/speed_6005.csv,0.51259765625,-0.0373779982441,4,1882,4,235,2500
numenta,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.51259765625,0.0,0,3428,0,0,4032
numenta,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.51259765625,0.560099568244,1,1621,0,216,2162
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.51259765625,1.20130106354,4,3024,2,398,4032
numenta,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.51259765625,-1.36019591484,9,13650,10,1423,15842
numenta,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.51259765625,1.98462491465,7,1871,0,243,2495
numenta,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.51259765625,0.723575559502,5,13559,0,1588,15902
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.51259765625,0.739634634561,2,3023,0,403,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.51259765625,0.736537840284,8,3084,1,335,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.51259765625,0.86067182427,4,3025,0,399,4032
numenta,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.51259765625,0.0,0,3428,0,0,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.51259765625,1.29363185175,8,3455,8,457,4621
numenta,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.51259765625,0.656227089594,4,5786,5,722,7267
numenta,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.51259765625,0.709733737974,11,13558,6,1577,15902
numenta,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.51259765625,1.21229229244,18,13525,6,1567,15866
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.51259765625,0.418908670438,4,3023,2,399,4032
numenta,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.51259765625,-1.96511219487,1,4028,7,529,5315
numenta,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.51259765625,1.28824330604,3,1217,2,159,1624
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.51259765625,-0.66,0,3425,3,0,4032
numenta,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.51259765625,0.944710362685,5,1230,3,159,1643
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.51259765625,1.72310160415,6,3026,0,396,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.51259765625,0.481473301883,3,3021,4,400,4032
numenta,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.51259765625,-0.273379225815,2,1872,4,247,2500
numenta,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.51259765625,2.25177643559,8,13514,6,1580,15858
numenta,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.51259765625,-0.66,0,3425,3,0,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.51259765625,0.296299992988,3,3545,3,470,4730
numenta,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.51259765625,1.49595613499,4,3025,1,398,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.51259765625,1.71226928014,3,3026,0,399,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.51259765625,-0.138449197924,2,3026,0,400,4032
numenta,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.51259765625,-2.80958961576,5,13531,22,1585,15893
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.51259765625,0.352937018102,1,3022,3,402,4032
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.51259765625,0.839566484907,3,3022,4,399,4032
numenta,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.51259765625,-1.33370102385,1,1408,2,189,1882
numenta,reward_low_FP_rate,realTraffic/speed_7578.csv,0.51259765625,2.42717125146,5,837,5,111,1127
numenta,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.51259765625,2.24288614785,6,13512,2,1581,15851
numenta,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.51259765625,0.642220519336,2,1154,1,151,1538
numenta,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.51259765625,0.881571402834,4,3543,4,470,4730
numenta,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.51259765625,0.0,0,3428,0,0,4032
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.51259765625,-1.55670293184,0,3022,3,403,4032
numenta,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.51259765625,2.5707776045,3,1155,0,150,1538
numenta,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.51259765625,-0.145211853476,6,3020,5,397,4032
numenta,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.51259765625,1.37586905384,7,3079,3,339,4032
numenta,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.51259765625,-1.23706566172,7,13496,5,1573,15831
numenta,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.51259765625,2.0607608563,8,19671,6,2260,22695
numenta,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.51259765625,0.86067182427,4,3025,0,399,4032
numenta,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.51259765625,0.86067182427,1,3025,0,402,4032
numenta,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.51259765625,2.10807388255,9,8533,2,1026,10320
Totals,,,,27.1628406442,254,299170,177,33241,365558
