Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numenta,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.5126953125,-0.22,0,3426,2,0,4032
numenta,standard,realTweets/Twitter_volume_CVS.csv,0.5126953125,2.30950047794,9,13573,4,1517,15853
numenta,standard,realTweets/Twitter_volume_FB.csv,0.5126953125,1.50048222172,3,13499,2,1579,15833
numenta,standard,realAdExchange/exchange-4_cpc_results.csv,0.5126953125,0.622260693585,3,1231,1,162,1643
numenta,standard,realTraffic/occupancy_6005.csv,0.5126953125,0.861272490375,2,1784,0,237,2380
numenta,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5126953125,0.556842909788,6,3021,2,399,4032
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5126953125,0.875727409493,3,3025,0,400,4032
numenta,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5126953125,-2.11,0,930,1,126,1243
numenta,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5126953125,-0.573201033126,23,15787,14,1476,18050
numenta,standard,realAdExchange/exchange-2_cpc_results.csv,0.5126953125,-1.33,0,1215,3,163,1624
numenta,standard,realTraffic/occupancy_t4013.csv,0.5126953125,1.6260251845,4,1874,1,246,2500
numenta,standard,realTraffic/speed_6005.csv,0.5126953125,0.402622001756,4,1882,4,235,2500
numenta,standard,artificialNoAnomaly/art_noisy.csv,0.5126953125,0.0,0,3428,0,0,4032
numenta,standard,realTraffic/TravelTime_451.csv,0.5126953125,0.560099568244,1,1621,0,216,2162
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5126953125,1.41453191448,4,3024,2,398,4032
numenta,standard,realTweets/Twitter_volume_GOOG.csv,0.5126953125,-0.260196174698,9,13650,10,1423,15842
numenta,standard,realTraffic/speed_t4013.csv,0.5126953125,1.98462491465,7,1871,0,243,2495
numenta,standard,realTweets/Twitter_volume_CRM.csv,0.5126953125,0.723575559502,5,13559,0,1588,15902
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5126953125,0.739634634561,2,3023,0,403,4032
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5126953125,0.846537840284,8,3084,1,335,4032
numenta,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5126953125,0.86067182427,4,3025,0,399,4032
numenta,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5126953125,0.0,0,3428,0,0,4032
numenta,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.5126953125,2.00107014064,8,3455,8,457,4621
numenta,standard,realKnownCause/ambient_temperature_system_failure.csv,0.5126953125,1.20622708959,4,5786,5,722,7267
numenta,standard,realTweets/Twitter_volume_AAPL.csv,0.5126953125,1.26389791486,11,13558,6,1577,15902
numenta,standard,realTweets/Twitter_volume_UPS.csv,0.5126953125,1.82907110405,18,13525,6,1567,15866
numenta,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5126953125,0.638908670438,4,3023,2,399,4032
numenta,standard,realKnownCause/rogue_agent_key_updown.csv,0.5126953125,-1.29575982814,1,4028,7,529,5315
numenta,standard,realAdExchange/exchange-2_cpm_results.csv,0.5126953125,1.50824330604,3,1217,2,159,1624
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5126953125,-0.33,0,3425,3,0,4032
numenta,standard,realAdExchange/exchange-4_cpm_results.csv,0.5126953125,1.27471036268,5,1230,3,159,1643
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.5126953125,1.72310160415,6,3026,0,396,4032
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5126953125,0.733169652795,3,3021,4,400,4032
numenta,standard,realTraffic/TravelTime_387.csv,0.5126953125,0.166452849003,2,1872,4,247,2500
numenta,standard,realTweets/Twitter_volume_PFE.csv,0.5126953125,2.91177643559,8,13514,6,1580,15858
numenta,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.5126953125,-0.33,0,3425,3,0,4032
numenta,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5126953125,0.59454409372,3,3545,3,470,4730
numenta,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.5126953125,1.60595613499,4,3025,1,398,4032
numenta,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5126953125,1.71226928014,3,3026,0,399,4032
numenta,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5126953125,-0.138449197924,2,3026,0,400,4032
numenta,standard,realTweets/Twitter_volume_IBM.csv,0.5126953125,-0.544111443719,5,13531,22,1585,15893
numenta,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5126953125,0.60592284427,1,3022,3,402,4032
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5126953125,1.27956648491,3,3022,4,399,4032
numenta,standard,realKnownCause/rogue_agent_key_hold.csv,0.5126953125,-1.11370102385,1,1408,2,189,1882
numenta,standard,realTraffic/speed_7578.csv,0.5126953125,2.97644796595,5,837,5,111,1127
numenta,standard,realTweets/Twitter_volume_KO.csv,0.5126953125,2.46249313699,6,13512,2,1581,15851
numenta,standard,realAdExchange/exchange-3_cpm_results.csv,0.5126953125,0.752159553344,2,1154,1,151,1538
numenta,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5126953125,1.32157140283,4,3543,4,470,4730
numenta,standard,artificialNoAnomaly/art_flatline.csv,0.5126953125,0.0,0,3428,0,0,4032
numenta,standard,artificialWithAnomaly/art_daily_nojump.csv,0.5126953125,-1.27835146592,0,3022,3,403,4032
